Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,routes_count,dep_date_time,trip_duration,arrival_date_time
IndiGo,2019-03-24,Banglore,Delhi,BLR → DEL,22:20:00,01:10 22 Mar,2h 50m,non-stop,No info,3897,0,2019-03-24 22:20:00,0 days 02:50:00,2019-03-25 01:10:00
Air India,2019-05-01,Kolkata,Banglore,CCU → IXR → BBI → BLR,05:50:00,13:15,7h 25m,2 stops,No info,7662,2,2019-05-01 05:50:00,0 days 07:25:00,2019-05-01 13:15:00
Jet Airways,2019-06-09,Delhi,Cochin,DEL → LKO → BOM → COK,09:25:00,04:25 10 Jun,19h,2 stops,No info,13882,2,2019-06-09 09:25:00,0 days 19:00:00,2019-06-10 04:25:00
IndiGo,2019-05-12,Kolkata,Banglore,CCU → NAG → BLR,18:05:00,23:30,5h 25m,1 stop,No info,6218,1,2019-05-12 18:05:00,0 days 05:25:00,2019-05-12 23:30:00
IndiGo,2019-03-01,Banglore,Delhi,BLR → NAG → DEL,16:50:00,21:35,4h 45m,1 stop,No info,13302,1,2019-03-01 16:50:00,0 days 04:45:00,2019-03-01 21:35:00
SpiceJet,2019-06-24,Kolkata,Banglore,CCU → BLR,09:00:00,11:25,2h 25m,non-stop,No info,3873,0,2019-06-24 09:00:00,0 days 02:25:00,2019-06-24 11:25:00
Jet Airways,2019-03-12,Banglore,Delhi,BLR → BOM → DEL,18:55:00,10:25 13 Mar,15h 30m,1 stop,In-flight meal not included,11087,1,2019-03-12 18:55:00,0 days 15:30:00,2019-03-13 10:25:00
Jet Airways,2019-03-01,Banglore,Delhi,BLR → BOM → DEL,08:00:00,05:05 02 Mar,21h 5m,1 stop,No info,22270,1,2019-03-01 08:00:00,0 days 21:05:00,2019-03-02 05:05:00
Jet Airways,2019-03-12,Banglore,Delhi,BLR → BOM → DEL,08:55:00,10:25 13 Mar,25h 30m,1 stop,In-flight meal not included,11087,1,2019-03-12 08:55:00,1 days 01:30:00,2019-03-13 10:25:00
Multiple carriers,2019-05-27,Delhi,Cochin,DEL → BOM → COK,11:25:00,19:15,7h 50m,1 stop,No info,8625,1,2019-05-27 11:25:00,0 days 07:50:00,2019-05-27 19:15:00
Air India,2019-06-01,Delhi,Cochin,DEL → BLR → COK,09:45:00,23:00,13h 15m,1 stop,No info,8907,1,2019-06-01 09:45:00,0 days 13:15:00,2019-06-01 23:00:00
IndiGo,2019-04-18,Kolkata,Banglore,CCU → BLR,20:20:00,22:55,2h 35m,non-stop,No info,4174,0,2019-04-18 20:20:00,0 days 02:35:00,2019-04-18 22:55:00
Air India,2019-06-24,Chennai,Kolkata,MAA → CCU,11:40:00,13:55,2h 15m,non-stop,No info,4667,0,2019-06-24 11:40:00,0 days 02:15:00,2019-06-24 13:55:00
Jet Airways,2019-05-09,Kolkata,Banglore,CCU → BOM → BLR,21:10:00,09:20 10 May,12h 10m,1 stop,In-flight meal not included,9663,1,2019-05-09 21:10:00,0 days 12:10:00,2019-05-10 09:20:00
IndiGo,2019-04-24,Kolkata,Banglore,CCU → BLR,17:15:00,19:50,2h 35m,non-stop,No info,4804,0,2019-04-24 17:15:00,0 days 02:35:00,2019-04-24 19:50:00
Air India,2019-03-03,Delhi,Cochin,DEL → AMD → BOM → COK,16:40:00,19:15 04 Mar,26h 35m,2 stops,No info,14011,2,2019-03-03 16:40:00,1 days 02:35:00,2019-03-04 19:15:00
SpiceJet,2019-04-15,Delhi,Cochin,DEL → PNQ → COK,08:45:00,13:15,4h 30m,1 stop,No info,5830,1,2019-04-15 08:45:00,0 days 04:30:00,2019-04-15 13:15:00
Jet Airways,2019-06-12,Delhi,Cochin,DEL → BOM → COK,14:00:00,12:35 13 Jun,22h 35m,1 stop,In-flight meal not included,10262,1,2019-06-12 14:00:00,0 days 22:35:00,2019-06-13 12:35:00
Air India,2019-06-12,Delhi,Cochin,DEL → CCU → BOM → COK,20:15:00,19:15 13 Jun,23h,2 stops,No info,13381,2,2019-06-12 20:15:00,0 days 23:00:00,2019-06-13 19:15:00
Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,16:00:00,12:35 28 May,20h 35m,1 stop,In-flight meal not included,12898,1,2019-05-27 16:00:00,0 days 20:35:00,2019-05-28 12:35:00
GoAir,2019-03-06,Delhi,Cochin,DEL → BOM → COK,14:10:00,19:20,5h 10m,1 stop,No info,19495,1,2019-03-06 14:10:00,0 days 05:10:00,2019-03-06 19:20:00
Air India,2019-03-21,Banglore,Delhi,BLR → COK → DEL,22:00:00,13:20 19 Mar,15h 20m,1 stop,No info,6955,1,2019-03-21 22:00:00,0 days 15:20:00,2019-03-22 13:20:00
IndiGo,2019-04-03,Banglore,Delhi,BLR → DEL,04:00:00,06:50,2h 50m,non-stop,No info,3943,0,2019-04-03 04:00:00,0 days 02:50:00,2019-04-03 06:50:00
IndiGo,2019-05-01,Banglore,Delhi,BLR → DEL,18:55:00,21:50,2h 55m,non-stop,No info,4823,0,2019-05-01 18:55:00,0 days 02:55:00,2019-05-01 21:50:00
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,18:55:00,08:15 07 May,13h 20m,1 stop,In-flight meal not included,7757,1,2019-05-06 18:55:00,0 days 13:20:00,2019-05-07 08:15:00
Jet Airways,2019-06-09,Delhi,Cochin,DEL → IDR → BOM → COK,21:25:00,12:35 10 Jun,15h 10m,2 stops,No info,13292,2,2019-06-09 21:25:00,0 days 15:10:00,2019-06-10 12:35:00
IndiGo,2019-06-01,Delhi,Cochin,DEL → LKO → COK,21:50:00,03:35 02 Jun,5h 45m,1 stop,No info,8238,1,2019-06-01 21:50:00,0 days 05:45:00,2019-06-02 03:35:00
GoAir,2019-05-15,Delhi,Cochin,DEL → BOM → COK,07:00:00,12:55,5h 55m,1 stop,No info,7682,1,2019-05-15 07:00:00,0 days 05:55:00,2019-05-15 12:55:00
Vistara,2019-06-18,Banglore,Delhi,BLR → DEL,09:45:00,12:35,2h 50m,non-stop,No info,4668,0,2019-06-18 09:45:00,0 days 02:50:00,2019-06-18 12:35:00
Vistara,2019-06-15,Chennai,Kolkata,MAA → CCU,07:05:00,09:20,2h 15m,non-stop,No info,3687,0,2019-06-15 07:05:00,0 days 02:15:00,2019-06-15 09:20:00
Vistara,2019-06-18,Chennai,Kolkata,MAA → CCU,07:05:00,09:20,2h 15m,non-stop,No info,3687,0,2019-06-18 07:05:00,0 days 02:15:00,2019-06-18 09:20:00
Air India,2019-05-01,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50:00,23:15,13h 25m,2 stops,No info,13227,2,2019-05-01 09:50:00,0 days 13:25:00,2019-05-01 23:15:00
IndiGo,2019-04-06,Banglore,Delhi,BLR → DEL,04:00:00,06:50,2h 50m,non-stop,No info,4423,0,2019-04-06 04:00:00,0 days 02:50:00,2019-04-06 06:50:00
Jet Airways,2019-06-15,Delhi,Cochin,DEL → NAG → BOM → COK,14:35:00,12:35 16 Jun,22h,2 stops,In-flight meal not included,10919,2,2019-06-15 14:35:00,0 days 22:00:00,2019-06-16 12:35:00
Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,07:05:00,12:35,5h 30m,1 stop,In-flight meal not included,12373,1,2019-05-18 07:05:00,0 days 05:30:00,2019-05-18 12:35:00
IndiGo,2019-06-27,Delhi,Cochin,DEL → BOM → COK,10:35:00,21:00,10h 25m,1 stop,No info,5894,1,2019-06-27 10:35:00,0 days 10:25:00,2019-06-27 21:00:00
SpiceJet,2019-05-21,Kolkata,Banglore,CCU → MAA → BLR,15:05:00,20:20,5h 15m,1 stop,No info,4649,1,2019-05-21 15:05:00,0 days 05:15:00,2019-05-21 20:20:00
Air India,2019-05-18,Kolkata,Banglore,CCU → BLR,14:15:00,16:45,2h 30m,non-stop,No info,6245,0,2019-05-18 14:15:00,0 days 02:30:00,2019-05-18 16:45:00
Jet Airways,2019-03-06,Banglore,Delhi,BLR → BOM → DEL,07:00:00,13:15,6h 15m,1 stop,No info,19225,1,2019-03-06 07:00:00,0 days 06:15:00,2019-03-06 13:15:00
Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,07:05:00,19:00,11h 55m,1 stop,No info,14924,1,2019-06-03 07:05:00,0 days 11:55:00,2019-06-03 19:00:00
Multiple carriers,2019-05-21,Delhi,Cochin,DEL → HYD → COK,07:05:00,18:10,11h 5m,1 stop,No info,9646,1,2019-05-21 07:05:00,0 days 11:05:00,2019-05-21 18:10:00
Air India,2019-03-15,Banglore,Delhi,BLR → BOM → DEL,06:45:00,15:15,8h 30m,1 stop,No info,8714,1,2019-03-15 06:45:00,0 days 08:30:00,2019-03-15 15:15:00
Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,20:55:00,19:00 19 May,22h 5m,1 stop,In-flight meal not included,12373,1,2019-05-18 20:55:00,0 days 22:05:00,2019-05-19 19:00:00
Air Asia,2019-05-06,Banglore,Delhi,BLR → DEL,11:10:00,13:55,2h 45m,non-stop,No info,3383,0,2019-05-06 11:10:00,0 days 02:45:00,2019-05-06 13:55:00
Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,09:00:00,21:00,12h,1 stop,No info,13062,1,2019-03-21 09:00:00,0 days 12:00:00,2019-03-21 21:00:00
SpiceJet,2019-03-24,Banglore,Delhi,BLR → DEL,05:45:00,08:35,2h 50m,non-stop,No check-in baggage included,3527,0,2019-03-24 05:45:00,0 days 02:50:00,2019-03-24 08:35:00
IndiGo,2019-05-27,Banglore,Delhi,BLR → DEL,04:00:00,06:50,2h 50m,non-stop,No info,3943,0,2019-05-27 04:00:00,0 days 02:50:00,2019-05-27 06:50:00
Air India,2019-05-03,Chennai,Kolkata,MAA → CCU,11:40:00,13:55,2h 15m,non-stop,No info,4667,0,2019-05-03 11:40:00,0 days 02:15:00,2019-05-03 13:55:00
Air India,2019-05-15,Kolkata,Banglore,CCU → HYD → BLR,19:00:00,11:05 16 May,16h 5m,1 stop,No info,6117,1,2019-05-15 19:00:00,0 days 16:05:00,2019-05-16 11:05:00
Jet Airways,2019-06-27,Delhi,Cochin,DEL → AMD → BOM → COK,23:05:00,19:00 28 Jun,19h 55m,2 stops,In-flight meal not included,11150,2,2019-06-27 23:05:00,0 days 19:55:00,2019-06-28 19:00:00
Jet Airways,2019-03-09,Delhi,Cochin,DEL → COK,11:00:00,14:15,3h 15m,non-stop,In-flight meal not included,7202,0,2019-03-09 11:00:00,0 days 03:15:00,2019-03-09 14:15:00
Jet Airways,2019-05-01,Kolkata,Banglore,CCU → DEL → BLR,09:35:00,10:55 02 May,25h 20m,1 stop,No info,12121,1,2019-05-01 09:35:00,1 days 01:20:00,2019-05-02 10:55:00
IndiGo,2019-03-24,Banglore,Delhi,BLR → DEL,22:20:00,01:10 28 Mar,2h 50m,non-stop,No info,4377,0,2019-03-24 22:20:00,0 days 02:50:00,2019-03-25 01:10:00
IndiGo,2019-06-18,Banglore,Delhi,BLR → DEL,21:15:00,00:15 19 Jun,3h,non-stop,No info,3943,0,2019-06-18 21:15:00,0 days 03:00:00,2019-06-19 00:15:00
Air Asia,2019-04-03,Banglore,Delhi,BLR → DEL,23:55:00,02:45 04 Apr,2h 50m,non-stop,No info,4483,0,2019-04-03 23:55:00,0 days 02:50:00,2019-04-04 02:45:00
Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,19:45:00,12:00 25 Mar,16h 15m,1 stop,No info,14231,1,2019-03-24 19:45:00,0 days 16:15:00,2019-03-25 12:00:00
Air India,2019-03-01,Banglore,Delhi,BLR → BOM → AMD → DEL,08:50:00,23:55,15h 5m,2 stops,No info,17345,2,2019-03-01 08:50:00,0 days 15:05:00,2019-03-01 23:55:00
Vistara,2019-03-06,Chennai,Kolkata,MAA → CCU,07:05:00,09:20,2h 15m,non-stop,No info,7414,0,2019-03-06 07:05:00,0 days 02:15:00,2019-03-06 09:20:00
Multiple carriers,2019-05-06,Delhi,Cochin,DEL → BOM → COK,19:00:00,01:30 07 May,6h 30m,1 stop,No info,8073,1,2019-05-06 19:00:00,0 days 06:30:00,2019-05-07 01:30:00
Vistara,2019-03-06,Mumbai,Hyderabad,BOM → DEL → HYD,15:40:00,16:45 07 Mar,25h 5m,1 stop,No info,12395,1,2019-03-06 15:40:00,1 days 01:05:00,2019-03-07 16:45:00
Air India,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,09:25:00,21:50,12h 25m,1 stop,No info,8366,1,2019-06-06 09:25:00,0 days 12:25:00,2019-06-06 21:50:00
Air India,2019-04-03,Delhi,Cochin,DEL → MAA → COK,06:05:00,09:25 04 Apr,27h 20m,1 stop,No info,5117,1,2019-04-03 06:05:00,1 days 03:20:00,2019-04-04 09:25:00
Multiple carriers,2019-06-03,Delhi,Cochin,DEL → BOM → COK,08:45:00,19:00,10h 15m,1 stop,No info,12524,1,2019-06-03 08:45:00,0 days 10:15:00,2019-06-03 19:00:00
IndiGo,2019-05-15,Delhi,Cochin,DEL → BOM → COK,15:00:00,01:30 16 May,10h 30m,1 stop,No info,7191,1,2019-05-15 15:00:00,0 days 10:30:00,2019-05-16 01:30:00
Vistara,2019-05-24,Chennai,Kolkata,MAA → CCU,07:05:00,09:20,2h 15m,non-stop,No info,3687,0,2019-05-24 07:05:00,0 days 02:15:00,2019-05-24 09:20:00
IndiGo,2019-06-24,Delhi,Cochin,DEL → BOM → COK,10:35:00,21:00,10h 25m,1 stop,No info,5894,1,2019-06-24 10:35:00,0 days 10:25:00,2019-06-24 21:00:00
Vistara,2019-04-24,Banglore,Delhi,BLR → DEL,09:45:00,12:35,2h 50m,non-stop,No info,5403,0,2019-04-24 09:45:00,0 days 02:50:00,2019-04-24 12:35:00
Air India,2019-05-06,Mumbai,Hyderabad,BOM → HYD,13:55:00,15:25,1h 30m,non-stop,No info,3625,0,2019-05-06 13:55:00,0 days 01:30:00,2019-05-06 15:25:00
Air India,2019-05-21,Delhi,Cochin,DEL → BHO → BOM → COK,05:55:00,19:15,13h 20m,2 stops,No info,10861,2,2019-05-21 05:55:00,0 days 13:20:00,2019-05-21 19:15:00
IndiGo,2019-03-12,Chennai,Kolkata,MAA → CCU,13:20:00,15:35,2h 15m,non-stop,No info,6297,0,2019-03-12 13:20:00,0 days 02:15:00,2019-03-12 15:35:00
Jet Airways,2019-06-01,Mumbai,Hyderabad,BOM → HYD,07:05:00,08:30,1h 25m,non-stop,No info,5678,0,2019-06-01 07:05:00,0 days 01:25:00,2019-06-01 08:30:00
Jet Airways,2019-03-09,Banglore,Delhi,BLR → BOM → DEL,05:45:00,08:15 13 Mar,26h 30m,1 stop,In-flight meal not included,9134,1,2019-03-09 05:45:00,1 days 02:30:00,2019-03-10 08:15:00
